id,id_twitter,text,sentiment
1343,863044774588272640,Que coisa linda! O Programa #encontro estava mostrando uma familia que adotou um adolescente de 18 anos. Que amor!!!,1
1344,865583716088766467,"Por mais #Encontro com as Irmãs Galvão, adorei elas.",1
1345,865063232201011201,"Mr. CATRA @OficialMrCatra lançando sua nova música PPK CHORA no @SBTTheNoite k k k👅😉
#TheNoite #MrCatra #PpkChora",1
1346,864668391008763905,quem viu aquela lutadora modela barbuda tatuada? #MasterChefBR,0
1347,865572794016378882,Tô passada com esse cara.... quanta merda pode sair da boca de alguém em alguns minutos! 😠 #Encontro,-1
1348,864531723215925250,"Cibele arrasou, humilhou!! #VideoShowAoVivo",1
1349,864176639143555072,Em Minas sacolé é chup chup!  #videoshowaovivo,0
1350,864674916532146176,"Meu prato MasterChef de sardinha enlatada seria jogar ela no prato, cozinhar arroz e ainda colocar batata palha junto #MasterChefBR",0
1351,862307799258329089,"Esse japa não entendi porra nenhuma de orquídeas. Essa não é catleya Walkiriana, é uma Nobilior #encontro",-1
1352,865901040855650307,A Cearamirinense mais famosa do Brasil no #Edecasa @_robertasa ♥ Linda,1
1353,864877489801310210,"nào sei vocês, mas quero @marcos_harter no #powercoupleBrasil com a @emillyaraujoof e num reality tipo Dr Rey. Até no #MasterChefBR tá bom",1
1354,864702921698664448,"Tem q passar essa entrevista em telões nas praças
#TheNoite",1
1355,863575527315181569,Estou todo derretido com o amor do Serginho e Thomas no #AltasHoras,1
1356,864901773076701184,Fatima Bernardes sobre o sotaque hahaha coerência profissional #VideoShowAoVivo,0
1357,865071562449448960,Augusto Cury no #ConversaComBial IMPERDÍVEL!!!,1
1358,864534043643322369,#VideoShowAoVivo Sophia super sensual com essa roupa!!!!!!!!,1
1359,864684453909671936,Caraaaaaa não dormi ainda por causa desse cara: Padre Fábio de Melo ❤️ quanta sabedoria!!! #conversacombial,1
1360,862319879470407681,"Depois eu vou assistir, espero que ela cante a nova música!
#Encontro
#SandyNoEncontro",1
1361,862154585120681985,ai mds é agora #MasterChefBR,1
1362,864814104745320449,Aí vc fica até 01h00 assistindo #MasterChefBR e acorda cedo pra ir trabalhar parecendo um zumbi,-1
1363,864532441318535168,#VideoShowAoVivo Esse vestido de casamento da Cibele deu o que falar kkkkkkkkkk,-
1364,864700805017993216,fico assistindo #MasterChefBR  dá muuuita vontade de comer rs,1
1365,864665198359183361,Imagina que insuportável ter de dar de comer pra uma gente que calcula CADA CALORIA que come? Jesus... #MasterChefBR,-1
1366,864652037551775744,#MasterChefBR Começaaaaaaaaaaaaaaaaaaaaa a hora de procurar algo na geladeira pra comer e acompanhar este show na TV !!!! 😆,1
1367,865311265773813760,Olá @AnaMariaBraga gostaria da participação do Fiuk em algum quadro no @MaisVoce_Globo #MaisVoce. Obrigada!,0
1368,865068372496613376,"Vivendo e aprendendo, enfrentar os medos e procurar ajuda é sempre a melhor maneira. #ConversaComBial",1
1369,864681389760946176,o prato do Vitor B ficou ruim MEU DEUS TO PASSANDO MAL NAAAAOOO #MasterChefBR,-1
1370,863582224989474816,VANESSA DA MATA MELHOR PESSOA! #AltasHoras,1
1371,864716100830978048,#MasterChefBR FIQUEI MUITO NERVOSA ACHEI Q MINHA YUKO IA SAIR,-1
1372,865564925221105666,"Irmãs Galvão amores de pessoas. #Encontro
#IrmãsGalvao",1
1373,862623978355085315,"João Vicente no Encontro hoje, e eu vou estar aonde? No colégio, fazendo prova de matemática, isso mesmo. #Encontro",-1
1374,864169027370983425,#VideoShowAoVivo esse programa é demais com esses dois ao vivo... vocês podiam mostrar os bastidores DO VIDEO SHOW NÉ.. #CURIOSO KKK,1
1375,864824770562584576,"Tantos embustes pra sair do #MasterChefBR, e tiram justamente o #MasterCrush. Pfvr, alguém repesca o @MChefVitorB.",-1
1376,864688807068782594,Adoro a voz do Pr. Fabio de Melo 😍#ConversaComBial,1
1377,864655444786204672,@masterchefbr #MasterChefBR começou! Junto com o jogo da liberta e gsw x spurs. Que terça.,1
1378,864462012318875651,Eles roubam a cena na novela! Muito bom!  #MaisVoce,1
1379,864687047335923712,Tchau Victor B. É obvio que vc vai sair. #MasterChefBR,0
1380,864825289641250816,"#MaisVoce está aqui ensinando a passar roupas e os comentários da apresentadora são ´para fazer no terno do marido´, ´na camisa do namorado´",-1
1381,864681365442310145,"Déborah, a bixa é lacradora mesmo .
#MasterChefBR",1
1382,864703395772473345,"É o tipo de assunto sério que a nossa mídia esquerdista tem medo de falar, ou fala besteira. Parabéns #TheNoite",1
1383,864143870803795971,Eu gostaria de ter um #Encontro hj,0
1384,864627319448772610,Hoje tem🍝🍜🍛🥗🍲    😰😨😀 #MasterChefBR,1
1385,862667600651845633,eu também prefeito gente mais velha #encontro kkkkkkkkkk,1
1386,864706599750959104,"#TheNoite Excelente a participação do @benebarbosa_mvb!!! @DaniloGentili muito bom falar sobre o assunto Armas de Fogo.
#CidadãoArmadoJá",1
1387,862683077440663553,"O cara do System of a Down agora toca violino? Kkkkkkkkkkk
#Encontro",0
1388,864448983867019264,"Gente o cabelo e a maquiagem da Ana Maria Braga estão indo para  alguma festa que o resto do corpo não forão convidados 😂😂😂
#MaisVoce",-1
1389,862169273359376384,"#MasterChefBR

Ai eu só sei que perdi o programa quando entro no twitter e vejo o top .😢",-1
1390,862004019534942208,"Ja que é pra tombar....tombei
...#VideoShowAoVivo",0
1391,862308879220318208,"A maior e melhor cantora que você respeita @SandyLeah no @EncontroFatima. #SandyLeah #Encontro
#SandynoEncontro",1
1392,864328370150154240,"Com esse rei arthur, brincaria de princesa 24hrs sem reclamar, meuuuu deus #theNoite",1
1393,864674894126174208,"Qualquer um que saísse no time vermelho eu ficava sussa, mas do time azul, tô bad! #MasterChefBR",-1
1394,864661971555287044,Aí azul não me arrasa não #MasterChefBr,-1
1395,864164468938477569,Vem que já começou o #VídeoShowAoVivo !!,1
1396,862673399839166464,#Encontro  gente suspirando com esse João Vicente.😍😍,1
1397,864661180710834176,"Yuki parece eu na educação física, a ultima a ser escolhida kkkkk #MasterChefBR",-1
1398,865574215738511360,"#Encontro Pensei que estávamos no século XXI 
 Só pensei...",-1
1399,864662798655270912,#MasterChefBR Acho que hj não tem a maldição do time azul!!,0
1400,861282599641243648,"Semorou, mas o Silvio conseguiu casar a Patricia rs #DomingoLegal",0
1401,865426606084562944,Vem que vem @MaiaraeMaraisa tô aqui esperando ver vcs no #ConversaComBial mesmo sendo gravado,1
1402,865204415380246528,O Xande de Pilares tinha q começar ou encerrar o #Encontro com Malandro é Malandro e Mané é Mané,-
1403,865218334001856512,"Quando fala que ""a coisa tá preta"" é em referência as trevas e escuridão. Aí tem gente que vem com essa de racismo. #Encontro",-1
1404,863591134106447872,Que música sem graça essa da Vanessa da Mata! #altashoras,-1
1405,864685413222449152,"#MasterChefBR torta crua, não pode!",-1
1406,864901146552520704,Será que a Fátima não fica triste por ter tirado a Tv Globinho não ? #VideoShowAoVivo,-1
1407,862156476244267008,"#MasterChefBR Douglas filho da mãe, deveria pelo menos ter tido a capacidade de tirar a Miriam... Fala sério!!!",-1
1408,863255878560079872,"É impressionante como eu sempre aprendo algo novo quando assisto uma entrevista do Drauzio Varella. Que homem!

#ConversaComBial",1
1409,864710167052660737,O @DaniloGentili não vai ter problema em fazer filme de terror depois de hj 😂😂😂😂😂😂😂😂😂😂😂 #TheNoite,-1
1410,864532314096848897,#VideoShowAoVivo. Gente esse Cibele é linda ... E que ensaio em linda?! parabéns 👏,1
1411,864679780549046272,Date é um upgrade do Crush #MasterChefBR,0
1412,865217378854084608,Todos deviam ver esse vídeo do Nabby Clifford.  #Encontro,1
1413,865055312977559552,"Catra cantando Rock, quer momento mais icônico que esse #TheNoite",1
1414,863004413455216641,"Pq o programa não ta ao vivo? @ANAMARIABRAGA 
#MaisVocê",-1
1415,864875331890667520,"Consolidados - GLOBO (15/05):

#JornalHoje 12.4
#VídeoShowAoVivo 9.6
#SessãoDaTarde 12.1
#SenhoraDoDestino 16.7",0
1416,864468709225754624,"Só isso de Vivianne Pasmanter Ana Maria? A vai tomar no cu, não sabe aproveitar o artista quando vai.
 #MaisVoce",-1
1417,863044595579588608,"Eu não tenho estruturas pra conversas de adoção, tô chorando horrores #encontro",-1
1418,863786967590469632,Pessoas da novela Carinha de Anjo #DomingoLegal,0
1419,864651989925408768,"#MasterChefBr 
Fogaça : num gostou pega eu
Eu: pego, sempre",0
1420,863586893769961472,Era a Bela Gil no clipe do Tchan?? #AltasHoras hahaha,0
1421,864657954850705412,Esse carinha é engraçado #MasterChefBR,1
1422,865629121673441280,#videoshowaovivo A Manu e a Joice são as duas vacas da ficção!!!! Insuportáveis!!!! 👎👎👎👎👎👎,-1
1423,863587184653324288,Bela Gil no clipe Dança do Ventre do É o Tchan. Conseguiu realizar o sonho de todas crianças soteropolitanas dos anos 90 #AltasHoras,1
1424,862140095364816897,Ai que agonia! #MasterChefBR,-1
1425,863246926002761728,Se cadeia é tão ruim pq a galera vive correndo atrás de um PASSE #ConversaComBial,0
1426,864330942051213313,"Meu rei arthur favorito é o clive owen, acho q cabe mais um aqui 😬😂 #CharlieHunnam #TheNoite",1
1427,864696439020048385,"Oi, Vitor B, fiquei sabendo que tu come dogão. Já que és de POA posso te apresentar o que tem aqui na esquina de casQQQ #MasterChefBR",0
1428,864167061450244096,Queria um Joaquim Lopes pra mim! #VideoShowAoVivo,1
1429,863085029416730624,#videoShowAoVivo- o filho da Juliana era o Zac de Rock Story,0
1430,862305865998716929,Preciso descobrir logo qual o canal pago que reprisa o #MasterChefBR pra ver o programa de ontem,0
1431,862690607583637504,Uma das maiores tristezas na minha vida ultimamente é que a Deborah do #MasterChefBR é casada com um boy :(,-1
1432,864837992116039680,É impressão minha ou a Paola tá mais azeda que limão velho nesse #MasterChefBR ?,-1
1433,865054139256123392,"Catra da uma aula de política e depois fala que a nova música dele é ""Ppk chora"" kkkkkkkkk mitooo

#thenoite",1
1434,864703394967154688,#MasterChefBR gosto de sardinha,1
1435,864683456537784321,"E agora? #ConversacomBial com o melhor, o Padre Fabio ou ver quem saiu no #MasterChef",0
1436,865565993120276482,Meu Deus com uma mãe  dessa também não podia nascer diferente #encontro,1
1437,863175495952846848,"Já, já 📺 #NasNovelasDaNoiteSBT #CarinhaDeAnjo125😍
#Chiquititas174💙
Logo mais:
#ProgramaDoRatinho 
#TelaDeSucessos
#TheNoite 
@SBTonline.",0
1438,863597529971261440,A risada da Vanessa ahhahaha #AltasHoras,1
1439,863002731275063296,#MaisVoce tem tanta matéria que está falando de canudos e sua origem,-1
1440,864658729622437888,Só pelo rolê da Mirian hj.. tá demorando! #MasterChefBR,-1
1441,862357063116226564,Paolla Oliveira ❤ Jeiza ❤ #VídeoShowAoVivo #AForçaDoQuerer #VideoShowAoVivo,1
1442,862140084291858434,"Depois de hoje, tem que acabar o Masterchef e botarem Siga bem Caminhoneiro no lugar #MasterChefBR",-1
1443,862889135123685377,#ConversaComBial O programa está perdendo a mão. Muitos recortes! Começar com os convidados já sentados é péssimo.  Melhora aí #pedrobial,-1
1444,864903728922492928,#VideoShowAoVivo. A pior vilã dos desenhos animados está hoje no programa,-1
1445,862513541491961856,Acabou as #PatroasNoRatinho mas agora tem #MalumaNoTheNoite 😍😍😍🔝🎶 divulgando a música #FelicesLos4 🇨🇴🇧🇷 #TheNoite @DaniloGentili @SBTonline.,1
1446,864533088596107264,Perdi #DiegoDarksonMc no #VideoShowAoVivo vejo depois no @gshow,-
1447,862144501607010304,"#masterchefbr Mirian, oh, sucesso procê. A saída é ali no fundo. Brigado por ocê tê vindo, viu ?Bjo.",-1
1448,864097990251859970,"@taisdeverdade é o máximo! Adorando esse café!!
#MaisVoce",1
1449,863597680345456640,#AltasHoras dos mais legais de todos os tempos! :DDD #top,1
1450,864652296717824000,Hoje é dia de #MasterChefBR dá-lhe @MChefFabrizio não me infarte hoje! 💙,1
1451,864495857730805764,"Globo SP (15/05)
#SP2 27.1
#JN 30.9
#TelaQuente 15.8
#ConversaComBial 7.4",0
1452,864662776463204353,Não suporto prova em grupo. #MasterChefBR,-1
1453,865051872318640128,Mr Catra (@OficialMrCatra) falando que vai ser pai pela 33°vez. 😱😱😱😱😱😱😱😱😱😱😱😱😱😱😂😂😂😂😂😂😂😂 #TheNoite @DaniloGentili @SBTonline.,0
1454,863585446315642880,#AltasHoras como não dançar ao som de É o Tchan? Kkk amo!,1
1455,865221212947066880,"Acabou o #Encontro, colocaram a abertura do Plantão, cortaram, passaram o oferecimento do Encontro e apareceu o Evaristo..",-1
1456,863804549139750912,LUCERO EU TÔ TREMENDO LUCERO #DomingoLegal,-
1457,862408799621189632,É incrível a tranquilidade da Paola no mercado #MasterChefBR,1
1458,864858816701227010,"Ana Luiza alem de linda, cozinha bem #MasterChefBR",1
1459,862434806126260224,"#MasterChefBR
Shippo forte Paola e Fogaça ❤",1
1460,864658734030745601,competição entre as equipes e a única certeza que temos é que a Mirian vai problematizar com muito prazer. #MasterChefBR,-1
1461,864528302006030337,Tão bonitinho o dedé com a Juliana Paes. #VideoShowAoVivo,1
1462,865005400172634112,jornal nacional hoje mais comprido que o #MasterChefBR,-1
1463,864480279511146498,#Encontro Ótimo tema do programa de hj. Sofro um bocado com uma pessoa em casa que é muito pessimista! Minha própria mãe. 😢😢,1
1464,865058491752468480,#thenoite @DaniloGentili @LeoLins @murilocouto  eu? Graças à Deus eu sou homem até hoje.,1
1465,863038341201231872,#encontro  das mães e ainda  tem Arnaldo Antunes que é um dos melhores do mundo.,1
1466,862339607920357381,MEU PARÁ MINHA BELÉM no #MasterChefBR *-*,1
1467,864671656618471424,"Como giló, mas não como sardinha #MasterChefBr",-1
1468,865567421561753600,É triste saber que em pleno séc XXI ainda encontra-se homens assim #Encontro,-1
1469,864332554656075776,Cheguei a tempo de ver #ConversaComBial,1
1470,862146386309074945,"Gente tá geral se fodendo, pqp #MasterChefBR",-1
1471,862684007527587842,"@AraMalikian é muito rock´n´roll, sensacional, me encanta!!!! #Encontro",1
1472,864466930534686721,"Cadê o Theo?
#MaisVocê",0
1473,862885036584046592,a cada episódio q passa Fabrizio continua um gato ne 😏 #MasterChefBR,1
1474,865056526834311168,Léo Stronda já chegou comendo as coisas kkkkjj #TheNoite,1
1475,863572735632560129,E esse cabelo maravilhoso da Vanessa da Mata? #altashoras,1
1476,864687584714346496,#ConversaComBial o padre @PEFABI0DEMELO sambando na cara do Bial. Nota 10,1
1477,862006202204643328,"@Lopesjoca, ri alto com esse carimbó estilizado no final do #VideoShowAoVivo ! Só qro ver @otacosta amanhã!!!",1
1478,863575157226471424,"Que coisa mais fofa, ele é muito lindinho sz #AltasHoras",1
1479,865770933197434880,O Martin da primeira temporada do #MasterChefBR é muito fofoooooo,1
1480,864106414683435008,@ANAMARIABRAGA Achei deselegante o que fez com a Thais Araújo. #MaisVocê,-1
1481,862168456531251200,Vou precisar dormir umas 100 horas pra ver se me recupero do programa de hoje!! #MasterChefBR,-1
1482,865411967430926336,Quando que a globo vai comprar o #masterchefBr e o #powercouplebrasil ?? Tô no aguardo.. e descartar o #bbb e as mini séries pessimas?!,-1
1483,864734228864536576,#MasterChefBR Acho que chegou o momento em que vamos começar a ficar triste com cada eliminação. E a competição vai aumentar.,-1
1484,864669229005647872,@MuriloBakeOff2 @masterchefbr Fiquei confusa na apuração hahaha #MasterChefBR,-1
1485,862358596507631616,"Nelson Xavier foi um grande homem,  ator e artestar!  Vai deixar muitas saudades!!! Porangatu Goiás ligado ao #videoshowaovivo",1
1486,864685876990930949,"@PadreMelo ""Não me furto às perguntas inférteis! "" Para bom entendedor! @PBiaL 😂😂😂 #conversacombial",0
1487,865428897902583808,"cooomo eu gosto do Murilo... pqp 😂😂😂😂😂👏🏽👏🏽👏🏽
#TheNoite",1
1488,864657931974971392,Só esperando pra ver qual será a treta da Mirian hoje #MasterChefBR,0
1489,863253983690977280,Essa músicakkkkkk #TheNoite,-
1490,864686946546798592,"Só eu acho q Bial está pondo o  padre #fabiodemelo  em  uma sinuca de bico com essas perguntas, um tanto que pegadinhas???. #conversacomBial",-1
1491,865725441591697410,"#MasterChefBR no H&amp;H
A impressão é q a paciencia dos Chefs c/ a @MChefYuko está esgotando!
O risoto dela foi um ""mexidão"" com sabor ...
😛😛😛",-1
1492,865181081217249280,#MaisVoce..Ana o FGTS não é descontado..é benefício..mas é direito nosso. O meu estava ok,0
1493,864538951645876224,Menino continua como dentista mesmo. QUE HORROR! #videoshowaovivo,-1
1494,864677347705925632,Só vai #FicaYuko #ficavitorB #MasterChefBr,0
1495,862151431729672193,MANA COLOCA O JAMBU JUNTO QUE É SUCESSO !!!!! #MasterchefBR,1
1496,865250063920115712,Nao vejo logo a hora de começar.. &lt;3 😍#VideoShowAoVivo,1
1497,864858761458049025,Acho q a edição do @masterchefbr força um pouco a posição de vilão do Léo. Ele é um amor. E até pra mandar na Miriam foi fofo #MasterChefBR,1
1498,862006212212248576,Eeeeeeee 🙌 otacosta dançando carimbó amanhã em #VídeoShowAoVivo,1
1499,864641755609792512,Daqui a pouco tem #MasterChefBR e #PowerCoupleBrasil e já q não tem nada melhor pra fazer vamos comentar aqui!,-1
1500,863781167664951296,"Daqui a pouco às 13hrs, começa o Domingo Legal com elenco de CDA e @elisabrites fará para do time roxo 💜 #CDANoDomingoLegal #DomingoLegal",0
1501,864682938847420417,Muito bom Padre Fabio de Melo na #ConversacomBial,1
1502,864677348926529536,Será que ravióli de sardinha em conserva fica bom? Vou tentar fazer isso em casa. #MasterChefBR,0
1503,862147015693795328,Aiii meu coração #MasterChefBR,-
1504,862731246983663620,#VideoShowAoVivo saudades do Wando! Que nostalgia!,1
1505,865565888006815744,"Caraca, um imbecil machista falou um monte de basta no #encontro",-1
1506,862643037188521986,"Queria uma bike, sdds 
#MaisVoce",-1
1507,864166075650293761,"Eu quero esse ""SAI FOFOCA"" #VideoShowAovivo",1
1508,862141982180855810,Fabrizio entre os melhores mas o melhor é a cara de inveja da dona Miriam #MasterChefBR,1
1509,864125421134237699,"Em casa era 6 filhos mais meu pai e minha mãe , é maravilhoso imagina quando cada um trazia seus amigos para casa kkk #encontro",-
1510,862151434464366593,A PAOLA TA MUITO EUUU #MasterChefBR,0
