id_twitter,sentiment,text
1067856049821155334,1,"@tchaugip @n00bona História vence técnica facilmente. A menos que seja algo experimental que traga algo muito diferente e novo, pois aí agrega ao panteao de técnicas e então é lembrado. Caso contrário é só execução."
1070902848957964288,1,@camandis aa obrigado perfeito o seu timing tinha acabado de dar 18 minutos ja tirei
1073158858925838336,0,"moldura artística favorita entre filistinos alto padrão:
estoicismo ultrasimbológico; materialismo clássico carregado de símbolos e mensagens austeras sobre o homem diante da civilização e sua história de violência."
1073220881344856064,0,Minha cama tá no localizada no meio nesse momento do quarto e eu to mto feliz (porém espirrando à beça) pq o ventilador bate todo em cima dela
1073347140334833664,0,"@eueduramos o mundo so vai mudar quando as pessoas entenderem que não deve atacar/xingar/zomba quem tem um pensamento ignorante como o desse cara e sim que tu deve ensinar e explicar primeiro, esse debate foi inutil tendo em vista que o cara não mudou"
1072067147004870656,1,"eu NUNCA quero ir pra praia, aí quando tem um rolê praia resolve CHOVER
POIS AGR VOU DE TEIMOSO, SENÃO ME CHAMO ALLANCEZZA"
1070449050653216768,1,nas f´érias espero perder a palidez e ficar bronzeado
1073372935614840833,1,Alguem tem fotos de anitta usando lente e de batom escuro pra me mandar?
1073380236438458368,-1,"Já to com sono, cpa vou dormir, aproveitar que to inútil hj e nem pra puxar papo to servindo"
1074432372169424896,1,"viado eu to apaixonado pelo @jaoromania  não da, amo um artista"
1068149497581182978,1,nosso inconsciente é mto louco...
1073213887531675648,0,@fsmcruz Poderia passar a tabela? Até quanto de corrupção pode ter e ficar isento?
1068128469849186306,0,nao aguento mais meu inconsciente sonhando com desejos reprimidos ugh
1072151462719971330,-1,@medeirosnats Nao tem a questao no livro 🙄 teimoso
1072179311044644864,1,@CarolFocesi foça ela tá pulando de paraquedas kkkkkk nervoso no sentido de adrenalina e pa
1070455483868372992,0,eu nem to de cabelo cortado pra preta
1070664933375967233,1,"@jarbasdemateo13 @CaminiDiego @Gremio O Jean Pyerre precisa ser lapidado ainda mas tem qualidade, mas precisamos de um cara experiente também, a um bom tempo a 10 do Grêmio tá quase aposentada."
1073349659421274112,-1,"Sem querer eu descubro as coisas, esse doido mente muitoooooooooo, não sei como eu fiquei com esse inútil 🤦🤮"
1074292402293227521,1,"Na era do impeachment, Brasil estava dividido entre os vermelhos e os amarelos. Sendo que esses últimos se fantasiavam de patos. Parece que a partir de 1º de janeiro, estaremos divididos entre vermelhos (a luta continua!) e laranjas."
1069822009255870466,-1,Arrasado pois a única pessoa no mundo que não está em um grupinho de figurinhas no zap efron
1073347686974271488,-1,"@LuanSperandio Retardada! Essa cultura da ""lacração"" é inútil de altíssimo nível 🙄🙄"
1072095429691695104,-1,A asfixiante vida dos venezuelanos depois de um ano de hiperinflação https://t.co/0UCTdg9bwV via @elpais_brasil
1072156711077715968,-1,"@L0OHO3 Eu to vendo o cuidado, Seoho. Deixa de ser teimoso"
1072265830535184384,-1,trabalhar pra sustentar o ideal de ir pra sp nos fds curtir as festas e voltar pro rio pra trabalhar pq n tem festa boa nessa cidade
1070410254100430848,1,"@maroramos nossa, mas será que vale a pena tomar vitamina d e ficar com o famoso bronzeado de camiseta? hahaah"
1073031376272875520,0,@conexaopolitica @celiadb12 Tão  maduro que já está podre.
1069690390066929664,1,"TRABALHADOR DESPROTEGIDO

A extinção do Ministério do Trabalho é um absurdo e uma manobra de completo descaso com os direitos dos trabalhadores, a fiscalização e o combate ao trabalho... https://t.co/hG1EcDNhLn"
1073220947342184454,1,É feliz quem sonha. Más só tem sucesso quem se dispõe a pagar o preço para transformar sonho em realidade...
1074138871162642432,1,Dois ventiladores e um ar condicionado ligado e mesmo assim estou suando 😓
1072885341030363136,-1,Eu cometi o terrível erro de beber uma caneca de café agr de tarde
1070346780385165312,1,"PART 2 DE O MUNDO SOMBRIO DE SABRINA VAI SER LANÇADO EM ABRIL 
Eu to feliz pra carai"
1074428405968502785,1,"tá apaixonado por ess ruiva ? — siim, ela é linda, inteligente, joga fut e o melhor de tudo é que mostrou ser diferente de todas as outras https://t.co/2iaVbiLuYA"
1071162758966796290,1,@intrinseca @NetflixBrasil @CCXPoficial Sedento pra comprar essa obra de arte
1067219743600451584,-1,"eu só queria descansar, essa pressão de sempre ter uma rotina cansativa que a vida nos força a ter sempre é exaustivo psicologicamente, chega à ser físico de tão maligno"
1071885342368772096,1,Marido e filho vendo o jogo/desenho e eu jantando sozinha... 🙄😕 povo ingrato nessa casa viu
1071076927329456130,0,Poderia ser cmg né. Tinha acabado de chegar em cs
1071078873901793283,-1,"Que prova foi essa, não creio nisso, tudo que eu queria era que minhas provas tivessem acabado :/"
1072163037648429057,0,Trânsito mais intenso agora na Av.Protásio Alves da Vicente da Fontoura até a R.Mariante sent centro (… https://t.co/TBpHecRFpe (EPTC_POA)
1070341610003750912,0,Mais um trailer de O Mundo Sombrio de Sabrina: Um conto de Inverno para vocês ir se preparando pro solstício da #Sabrina! Chega dia 14 de dezembro na Netflix https://t.co/cQK7gjVppB
1073905531717345281,1,"felizínea por ter fechado uma prova do técnico q valia 8, tirar 1,75 em uma que valia 2 e tirar 9,75 em uma que valia 10 https://t.co/gFn9oP7w4M"
1072178239060217856,0,@thaynaaman Sim kkkkk tô rindo mas é de nervoso
1069338028584431616,-1,Vasco consegue ser mais minúsculo do que eu imaginava que poderia
1072128609501044742,-1,"{Ele tentando reatar o namoro.}

S/N: Terminamos por que ele é um cara chato e teimoso.
RJ: Sou nada, sou como um cachorrinho. *gif.* Sempre te obedeci!

♉ Ruby... https://t.co/ja1eV3D1ZG"
1072669750306791424,0,"@melophhobia tem uma pagina la chamada Frequencia diária, vai la, seleciona filosofia e manda consultar; vai te dar um relatorio com Presente/Ausente em tds as aulas de filo, ai vc conta quantas faltas vc tem (pelas minhas contas tem q ter 8 faltas, mas confere la q eh melhor) (+)"
1073220956368322560,-1,"[13/12 12:15 PM] iara Silva 👑❤: a pessoa é filha da puta cmg o tempo td, ms eu tô lá
[13/12 12:16 PM] iara Silva 👑❤: tenho medo de ser feliz, com medo de magoar o próximo
[13/12 12:16 PM] iara Silva 👑❤: as pessoas me machucam sem pensar 2 vezes
 ms é isso"
1074424911219675136,1,Arianos não perdoam assim tão fácil e rápido https://t.co/cqVJx2bqCY
1070451870890639361,-1,Fiquei feiao de cabelo cortado
1069275828792496128,-1,"@notavel Como disse o próprio LOMBANANA:
Nosso elenco é recatado, sensível...

Pqp"
1072678493866156033,1,Espero que 2019 compense o ano péssimo que 2018 foi
1072177931135475712,-1,Tô rindo de nervoso com esses ubers kkkkkkj tnc
1072139686401974272,0,@eduu_asc Mamãe mando eu escolhe essa daqui mas como sou teimoso vou escolher essa da ki
1067246391486029824,1,"@GiMG__ Todos eles sorrindo ! E só pode ser com o flagelo e a miséria de grande parte do povo brasileiro menos favorecido ! As vezes eu penso comigo: que prazer maligno esse deles, de uma torpe ganância tal, para porem as mãos em quantias bilionárias, que nem irão viver para gastar !"
1070367252514570240,-1,Saí na rua e voltei com o braço bronzeado
1070464061014532097,1,"tô um nojo de cabelin cortado, risquin na sombrancelha, listra no cabelo"
1072526922838622210,1,@quemario69 Um bom ponto a ser pensado
1069334867907878919,-1,O Vasco é minúsculo na moral kkkkkkkkkkkkk
1070650315928731650,1,"@caiocnascimento O Angulo acompanho há um tempo, tem muito potencial, mas o Bareiro do Nacional não conhecia, me impressionou demais, posicionamento de atacante matador experiente, parece muito o Sanabria mesmo"
1074294968200646656,-1,"Helicóptero do INEM. Proteção Civil do Porto, Braga e Vila Real não atenderam chamada de alerta https://t.co/C7tJtoGVUM https://t.co/u0L9877eSC"
1073386698715877376,1,@dudsrlm Eu fiz 10 e tu ainda tem coragem de me chamar de inútil
1071459029124304897,1,"Youtuber não, criador de conteúdo"
1071877278064369664,1,Mattheus Cerqueira: Jonas Esticado lança clipe de “Saudade Boa” com pa... https://t.co/IuMBTtOof2
1072659851245948928,0,"gostaria de informar a todos vocês que vou baixar the sims no meu computador, o que significa que muito provavelmente estarei ausente, mas por enquanto a programação normal"
1073220886302466048,1,Voce é feliz? — Sim 🙌🏻🙌🏻❤ https://t.co/529ke21VSS
1071238290324578304,-1,"@GenPauloChagas Além de jogar a chave fora, abrir a torneira do gás asfixiante e ponto final."
1073030097458946049,0,"Falo adolescente, pois o Bae acabou de atingir a maioridade na Coréia, e ainda está no colegial, é muito meno maduro e experiente que o Park. 
Não to falando isso como um meio de ""justificar"" as coisas, mas sim como uma realidade, que entre os dois é muito visível esse assunto"
1069720379386724353,1,"@conexaopolitica @jairbolsonaro Todo cuidado é pouco, seja bem cauteloso em tudo e nunca fique desprotegido, tanta gente já morreu de morte misteriosa e suspeita."
1073381388865470466,-1,"Eu nunca mais bebo um dia antes de ir pro curso, pq hj eu fui morrendo de ressaca e morrendo de sono e fui completamente inútil ao meu projeto de um estilista em ascensão"
1070903665517576192,-1,puts à noite só poderia ter acabado melhor se ela estivesse aqui
1067740719148785664,-1,apropriado pra uma queimar uns herbáceos https://t.co/81H90fhscV
1072094234671489024,1,"Meus pais brigando quem é mais teimoso alemão (minha mãe) ou “índio” (meu pai) 
Aí minha mãe jogou que a mistura é uma bomba ambulante (eu) BOM DIA"
1069915855406931968,1,"Às vezes a única coisa que eu queria era um Super Ego bem desenvolvido, pra pegar meu Id na ponta do laço, amarrar ele e jogar num canto do cérebro"
1073095405326491648,1,"Se você não serve pra ser prioridade de alguém, esse alguém também não serve pra ser a sua prioridade. Ter amor próprio é difícil, mas quando aprende: acabou!"
1070661885773660165,-1,"Não sei como o @SantosFC pode pensar no Roger Machado. Ele pegou @Gremio, @Palmeiras e @Atletico com grandes elencos, perdeu o vestiário e afundou. Peixe precisa de um treinador experiente e vencedor! Seria outra loucura! #MercadoDaBola"
1072181275899953154,-1,Tô nervoso pra crl por causa de amanhã
1068692645927620608,1,@natureza_ana Fiz sim sua boboca
1074425743545896960,1,estou oferecendo minha companhia e a de outros cinco (5) amigos para passar o fim de ano na casa de alguém em salvador. interessados a abrigar essas ótimas pessoas falar na dm mas fale rápido pois muita concorrência viu
1070334137029021697,-1,o futuro é sombrio demais credo https://t.co/nq23yYDKHS
1072660823200423936,1,@Guii_mee Nunca nessa vida né gayzao se tá ligado que o pai te ama né mesmo ausente 🤣🤣🤣
1072885044878938112,-1,Ter pessoa bipolar na rotina é um negócio que testa teu autocontrole de uma forma terrível
1073121818494545920,1,@Soul_Brotha Clássico
1069612321247502337,1,@mariaeduardxz Um homem sem chifre é um homem desprotegido
1070476369732272138,-1,só queria ter pego um bronzeado antes da festa do Levi 😞
1073916060401844224,1,"Cheguei atrasado, mais o salão ainda está fechado ufa"
1074243486164099072,0,34 conto de uber ainda bem q eh dividido p 3
1073379477458169856,1,quem é o retardado que paga 16 fuckin reais em uma pasta de dente branqueadora e fica tomando um monte de coisa com corante escuro?????? o troxa aqui msm
1073035362400907265,1,"Será que o mundo tá solidário a você Maduro, que está com medo de ser retirado a força do poder, ou com seu povo, que definha e morre de fome, desnutrição e doenças, comendo lixo e os próprios animais para sobreviver? #CaiaDePodreMaduro
https://t.co/1pspmCk3W5"
1072188031828922369,0,"@laisalmeidax compra mas tipo acho que tem que ter uso constante não da pra usar uma vez e achar que vai conseguir resultado, mas compra kkkkkkkkkkkkkkk"
1070658561741598720,1,Como anunciar vagas Para Auxiliar de Cozinha Experiente https://t.co/LotYvtCVvD https://t.co/rpmnbMTtHa
1073361037834010624,0,qual o mais inútil  biologia ou esse bueiro? https://t.co/4xoOcvOkGl
1069701687424749568,-1,"@welberww @Fernand85113965 Isso que eu ia falar, totalmente desprotegido ne? Se fosse uma 🍬 no meio da testa"
1070664196474462209,1,Cirio Quadros é apresentado como treinador do Ypiranga para 2019 e retorna ao Clube após quase duas décadas https://t.co/MJiQP6It7A
1074142421003440129,1,"ar ligado no máximo e todo mundo querendo dormir pelado, tá repreendido"
